brand,model,category,lifespan_km
"generic","24"" 1.85""","tyre",2000
"generic","24"" 1.9""","tyre",2000
"generic","24"" 1.95""","tyre",2000
"generic","24"" 2.0""","tyre",2000
"generic","24"" 2.1""","tyre",2000
"generic","24"" 2.2""","tyre",2000
"generic","24"" 2.25""","tyre",2000
"generic","24"" 2.3""","tyre",2000
"generic","24"" 2.35""","tyre",2000
"generic","24"" 2.4""","tyre",2000
"generic","24"" 2.5""","tyre",2000
"generic","24"" 2.6""","tyre",2000
"generic","24"" 2.7""","tyre",2000
"generic","24"" 2.8""","tyre",2000
"generic","24"" Presta","inner-tube",
"generic","24"" Schrader","inner-tube",
"generic","26"" 1.0""","tyre",2000
"generic","26"" 1.1""","tyre",2000
"generic","26"" 1.2""","tyre",2000
"generic","26"" 1.3""","tyre",2000
"generic","26"" 1.35""","tyre",2000
"generic","26"" 1.4""","tyre",2000
"generic","26"" 1.5""","tyre",2000
"generic","26"" 1.75""","tyre",2000
"generic","26"" 1.8""","tyre",2000
"generic","26"" 1.85""","tyre",2000
"generic","26"" 1.9""","tyre",2000
"generic","26"" 1.95""","tyre",2000
"generic","26"" 2.0""","tyre",2000
"generic","26"" 2.1""","tyre",2000
"generic","26"" 2.2""","tyre",2000
"generic","26"" 2.25""","tyre",2000
"generic","26"" 2.3""","tyre",2000
"generic","26"" 2.35""","tyre",2000
"generic","26"" 2.4""","tyre",2000
"generic","26"" 2.5""","tyre",2000
"generic","26"" 2.6""","tyre",2000
"generic","26"" 2.7""","tyre",2000
"generic","26"" 2.8""","tyre",2000
"generic","26"" Presta","inner-tube",
"generic","26"" Schrader","inner-tube",
"generic","27.5"" 1.0""","tyre",2000
"generic","27.5"" 1.1""","tyre",2000
"generic","27.5"" 1.2""","tyre",2000
"generic","27.5"" 1.3""","tyre",2000
"generic","27.5"" 1.35""","tyre",2000
"generic","27.5"" 1.4""","tyre",2000
"generic","27.5"" 1.5""","tyre",2000
"generic","27.5"" 1.75""","tyre",2000
"generic","27.5"" 1.8""","tyre",2000
"generic","27.5"" 1.85""","tyre",2000
"generic","27.5"" 1.9""","tyre",2000
"generic","27.5"" 1.95""","tyre",2000
"generic","27.5"" 2.0""","tyre",2000
"generic","27.5"" 2.1""","tyre",2000
"generic","27.5"" 2.2""","tyre",2000
"generic","27.5"" 2.25""","tyre",2000
"generic","27.5"" 2.3""","tyre",2000
"generic","27.5"" 2.35""","tyre",2000
"generic","27.5"" 2.4""","tyre",2000
"generic","27.5"" 2.5""","tyre",2000
"generic","27.5"" 2.6""","tyre",2000
"generic","27.5"" 2.7""","tyre",2000
"generic","27.5"" 2.8""","tyre",2000
"generic","27.5"" Presta","inner-tube",
"generic","27.5"" Schrader","inner-tube",
"generic","29"" 1.0""","tyre",2000
"generic","29"" 1.1""","tyre",2000
"generic","29"" 1.2""","tyre",2000
"generic","29"" 1.3""","tyre",2000
"generic","29"" 1.35""","tyre",2000
"generic","29"" 1.4""","tyre",2000
"generic","29"" 1.5""","tyre",2000
"generic","29"" 1.75""","tyre",2000
"generic","29"" 1.8""","tyre",2000
"generic","29"" 1.85""","tyre",2000
"generic","29"" 1.9""","tyre",2000
"generic","29"" 1.95""","tyre",2000
"generic","29"" 2.0""","tyre",2000
"generic","29"" 2.1""","tyre",2000
"generic","29"" 2.2""","tyre",2000
"generic","29"" 2.25""","tyre",2000
"generic","29"" 2.3""","tyre",2000
"generic","29"" 2.35""","tyre",2000
"generic","29"" 2.4""","tyre",2000
"generic","29"" 2.5""","tyre",2000
"generic","29"" 2.6""","tyre",2000
"generic","29"" 2.7""","tyre",2000
"generic","29"" 2.8""","tyre",2000
"generic","29"" Presta","inner-tube",
"generic","29"" Schrader","inner-tube",
"generic","650 Presta","inner-tube",
"generic","650 Schrader","inner-tube",
"generic","650x19","tyre",3000
"generic","650x20","tyre",3000
"generic","650x22","tyre",3000
"generic","650x23","tyre",3000
"generic","650x24","tyre",3000
"generic","650x25","tyre",3000
"generic","650x26","tyre",3000
"generic","650x28","tyre",3000
"generic","650x30","tyre",3000
"generic","650x31","tyre",3000
"generic","650x32","tyre",3000
"generic","650x33","tyre",3000
"generic","650x34","tyre",3000
"generic","650x35","tyre",3000
"generic","650x37","tyre",3000
"generic","650x38","tyre",3000
"generic","650x40","tyre",3000
"generic","650x42","tyre",3000
"generic","650x45","tyre",3000
"generic","650x47","tyre",3000
"generic","650x50","tyre",3000
"generic","700 Presta","inner-tube",
"generic","700 Schrader","inner-tube",
"generic","700x19","tyre",3000
"generic","700x20","tyre",3000
"generic","700x22","tyre",3000
"generic","700x23","tyre",3000
"generic","700x24","tyre",3000
"generic","700x25","tyre",3000
"generic","700x26","tyre",3000
"generic","700x28","tyre",3000
"generic","700x30","tyre",3000
"generic","700x31","tyre",3000
"generic","700x32","tyre",3000
"generic","700x33","tyre",3000
"generic","700x34","tyre",3000
"generic","700x35","tyre",3000
"generic","700x37","tyre",3000
"generic","700x38","tyre",3000
"generic","700x40","tyre",3000
"generic","700x42","tyre",3000
"generic","700x45","tyre",3000
"generic","700x47","tyre",3000
"generic","700x50","tyre",3000
"generic","8-speed","chain",2000
"generic","80mm 26""","fork",
"generic","80mm 27.5""","fork",
"generic","80mm 29""","fork",
"generic","9-speed","chain",2000
"generic","9-speed 11-21T","cassette",10000
"generic","9-speed 11-23T","cassette",10000
"generic","9-speed 11-25T","cassette",10000
"generic","9-speed 11-26T","cassette",10000
"generic","9-speed 11-28T","cassette",10000
"generic","9-speed 11-32T","cassette",10000
"generic","9-speed 11-34T","cassette",10000
"generic","9-speed 11-36T","cassette",10000
"generic","9-speed 11-40T","cassette",10000
"generic","9-speed 12-23T","cassette",10000
"generic","9-speed 12-25T","cassette",10000
"generic","9-speed 12-26T","cassette",10000
"generic","9-speed 12-27T","cassette",10000
"generic","9-speed 12-36T","cassette",10000
"generic","9-speed 13-25T","cassette",10000
"generic","9-speed 14-25T","cassette",10000
"generic","9-speed 28T","chainrings",10000
"generic","9-speed 30T","chainrings",10000
"generic","9-speed 32T","chainrings",10000
"generic","9-speed 34T","chainrings",10000
"generic","9-speed 36T","chainrings",10000
"generic","9-speed 38-28T","chainrings",10000
"generic","9-speed 42-30-22T","chainrings",10000
"generic","9-speed 42T","chainrings",10000
"generic","9-speed 44-32-22T","chainrings",10000
"generic","9-speed 46T","chainrings",10000
"bontrager","Bontrager AT-550 26"" front","wheel",800
"bontrager","Bontrager AT-550 26"" rear","wheel",800
"bontrager","Bontrager AT-550 27.5"" front","wheel",800
"bontrager","Bontrager AT-550 27.5"" rear","wheel",800
"bontrager","Bontrager AT-550 29"" front","wheel",800
"bontrager","Bontrager AT-550 29"" rear","wheel",800
"bontrager","Bontrager AT-550 700 front","wheel",800
