name,brand,model,category,life_target_km,pbg_id
"11-speed 32T","generic","11-speed 32t","chainrings",10000,"3b9df664-41ca-4127-8130-f4b16fc80163"
"11-speed 34T","generic","11-speed 34t","chainrings",10000,"9d9b1e86-71fd-464c-8faf-801aebaa6e53"
"11-speed 36T","generic","11-speed 36t","chainrings",10000,"edb68eb7-bac6-4f14-a9ae-4df4b080bace"
"11-speed 42T","generic","11-speed 42t","chainrings",10000,"d3cee87e-7c36-4078-a014-861d5cb88695"
"11-speed 46-30T","generic","11-speed 46-30t","chainrings",10000,"9aa837e6-624c-476b-a800-7ec0f6421cf6"
"11-speed 46T","generic","11-speed 46t","chainrings",10000,"5d18c238-27f9-49bf-b56b-c0c67ed70fdd"
"11-speed 48-32T","generic","11-speed 48-32t","chainrings",10000,"927a075e-d5a9-4871-a8e2-a25273f09c1c"
"11-speed 50-34T","generic","11-speed 50-34t","chainrings",10000,"23152c68-671c-49e3-97bf-8a917825431d"
"11-speed 55-42T","generic","11-speed 55-42t","chainrings",10000,"7c00aedb-0d50-4742-81d3-94ca6348d8b2"
"12-speed","generic","12-speed","chain",2000,"c6f2def3-d5f1-4741-9902-0089585c80ee"
"12-speed 10-26T","generic","12-speed 10-26t","cassette",10000,"247503c1-209e-4801-95d4-471b4c9683c0"
"12-speed 10-28T","generic","12-speed 10-28t","cassette",10000,"e07f0053-84d2-4866-b764-353085ae37af"
"12-speed 10-33T","generic","12-speed 10-33t","cassette",10000,"e8d1cf02-15db-4f62-b157-d0f7501142be"
"12-speed 10-50T","generic","12-speed 10-50t","cassette",10000,"37d8849c-1d4b-4963-898c-7a0e4e24aab1"
"12-speed 11-50T","generic","12-speed 11-50t","cassette",10000,"86c5751f-f580-4773-8f7d-96a5e7a74d59"
"12-speed 28T","generic","12-speed 28t","chainrings",10000,"6764f41a-7374-472b-923f-d652617ef199"
"12-speed 30T","generic","12-speed 30t","chainrings",10000,"e360a826-51ba-4345-9a1b-b6624186e62b"
"12-speed 32T","generic","12-speed 32t","chainrings",10000,"c00bf358-8b00-42fa-8de7-cd4a066bceeb"
"12-speed 34T","generic","12-speed 34t","chainrings",10000,"eaf2c8b3-f0f1-4927-8fbe-0500b90a634e"
"12-speed 36T","generic","12-speed 36t","chainrings",10000,"74e49b15-0620-409b-b05f-5fb15f981ebe"
"12-speed 42T","generic","12-speed 42t","chainrings",10000,"5fc7740e-2697-401c-9301-872d8d781e61"
"12-speed 46T","generic","12-speed 46t","chainrings",10000,"3973b11f-ab59-4af9-9e18-a061519ea546"
"120mm 26""","generic","120mm 26""","fork",,"a0d925ac-0eda-40f3-8d72-e53827592712"
"120mm 27.5""","generic","120mm 27.5""","fork",,"a9edad85-6c84-458c-9527-d555b0a78e8b"
"120mm 29""","generic","120mm 29""","fork",,"58a9fc1f-e673-4e32-86a8-046f4894160c"
"13-speed","generic","13-speed","chain",2000,"0ab2f493-a5de-4ade-88d3-bc402cb74a76"
"13-speed 10-26T","generic","13-speed 10-26t","cassette",10000,"bf4cb589-4c11-4f66-a535-ba87e03c691d"
"13-speed 10-28T","generic","13-speed 10-28t","cassette",10000,"ab691f36-97d2-4cd4-84d3-5f72dc0e8e60"
"13-speed 10-33T","generic","13-speed 10-33t","cassette",10000,"e72c825a-2b23-4e39-b892-9e5b2a7f2520"
"13-speed 10-44T","generic","13-speed 10-44t","cassette",10000,"4d93ae8f-d8ea-47bc-ab24-4a0bf4b11e4b"
"13-speed 10-50T","generic","13-speed 10-50t","cassette",10000,"1034b213-7c8a-4dfb-9b61-80d57865a40c"
"13-speed 11-50T","generic","13-speed 11-50t","cassette",10000,"65a9c48b-b8b1-4591-a381-e1d8a3a1884f"
"13-speed 28T","generic","13-speed 28t","chainrings",10000,"4c285179-ed26-4492-b1ac-d60a7f11192f"
"13-speed 30T","generic","13-speed 30t","chainrings",10000,"19d11556-58b8-43c5-80f2-a7c9d7d05612"
"13-speed 32T","generic","13-speed 32t","chainrings",10000,"b9c7ba2e-6606-4f03-b03c-65cc99216861"
"13-speed 34T","generic","13-speed 34t","chainrings",10000,"b2687caa-a2d9-4cab-8fe9-8884c75e4eed"
"13-speed 36T","generic","13-speed 36t","chainrings",10000,"446f1fc3-55a9-4695-859b-8741b3230dac"
"13-speed 42T","generic","13-speed 42t","chainrings",10000,"b5e7c1cf-5c3b-4e3d-a935-3fcb9f830a77"
"13-speed 46T","generic","13-speed 46t","chainrings",10000,"b5fb372d-1559-4e25-9e67-9c76433a5965"
"13-speed 9-36T","generic","13-speed 9-36t","cassette",10000,"c1ba940d-67eb-4aef-bdac-a82549c9ec57"
"13-speed 9-42T","generic","13-speed 9-42t","cassette",10000,"80e968ed-2dc4-48e9-9b1a-502cfff0a774"
"130mm 26""","generic","130mm 26""","fork",,"36caac9f-7211-4778-8009-006c588f0b1e"
"130mm 27.5""","generic","130mm 27.5""","fork",,"91574e30-279d-4c14-ae4d-4182f7bf5949"
"130mm 29""","generic","130mm 29""","fork",,"783bf433-43fd-48d9-8690-e8bb8afe4131"
"140mm 26""","generic","140mm 26""","fork",,"1981bf13-40d1-480a-b044-3880a0318e5b"
"140mm 27.5""","generic","140mm 27.5""","fork",,"89ce91f9-f7cf-4ee1-af68-3ad306193e9d"
"140mm 29""","generic","140mm 29""","fork",,"f0ff71d6-47f5-407a-a855-b2c0aa9925f8"
"140mm 6-Bolt","generic","140mm 6-bolt","brake-rotor",10000,"6b29ef54-0f7b-43e3-a585-685ab9c32ab0"
"140mm CenterLock","generic","140mm centerlock","brake-rotor",10000,"7e388942-d66c-44fa-9e73-e70a7991c6a0"
"150mm 26""","generic","150mm 26""","fork",,"4af03f7e-ea67-48c7-8a1d-15d4fc2f8e97"
"150mm 27.5""","generic","150mm 27.5""","fork",,"51429764-867c-47a7-90d0-e01b1f3dbea5"
"150mm 29""","generic","150mm 29""","fork",,"ba684a98-7e78-4d7a-b3e3-ee76eadcf8f2"
"160mm 26""","generic","160mm 26""","fork",,"d6ba8b07-6658-41a1-8b88-f6c18925ae55"
"160mm 27.5""","generic","160mm 27.5""","fork",,"795cfb59-231f-42be-a07b-217c2dbbb557"
"160mm 29""","generic","160mm 29""","fork",,"eb08ca36-cf54-4ef6-a921-15c6f2ca3e4e"
"160mm 6-Bolt","generic","160mm 6-bolt","brake-rotor",10000,"c9fda317-5a22-4a2f-9c75-5171fb3f8089"
"160mm CenterLock","generic","160mm centerlock","brake-rotor",10000,"339f97e1-43c3-468d-8c88-bbfb869d0346"
"170mm 26""","generic","170mm 26""","fork",,"a121d2b4-05c4-4d67-bc13-0394bc5a05af"
"170mm 27.5""","generic","170mm 27.5""","fork",,"d5ed75ed-df89-401a-830e-50e8ebb438fe"
"170mm 29""","generic","170mm 29""","fork",,"53bf59d6-5a0e-4636-9ae6-a662507efc43"
"180mm 26""","generic","180mm 26""","fork",,"507e1882-ecd8-461a-a9c4-06ddbc885281"
"180mm 27.5""","generic","180mm 27.5""","fork",,"3e59945e-ab39-4a52-8975-af49936564c9"
"180mm 29""","generic","180mm 29""","fork",,"23bf144a-30a9-4e23-bb59-063b6a6a8cac"
"180mm 6-Bolt","generic","180mm 6-bolt","brake-rotor",10000,"e8480677-e411-488a-afef-79784dc17071"
"180mm CenterLock","generic","180mm centerlock","brake-rotor",10000,"8ae33acf-bb99-461a-9661-a984807a5a77"
"20"" 1.0""","generic","20"" 1.0""","tyre",2000,"3ae5faa6-e6b0-40e7-96b7-24164c87d2d3"
"20"" 1.1""","generic","20"" 1.1""","tyre",2000,"cb249abc-dd3a-4f84-bf37-ecfae16b41bb"
"20"" 1.2""","generic","20"" 1.2""","tyre",2000,"37772c4c-a6bb-47a1-ba12-53235fedeed0"
"20"" 1.3""","generic","20"" 1.3""","tyre",2000,"5fa30e26-19e3-470f-9318-aa1e3b9acb09"
"20"" 1.35""","generic","20"" 1.35""","tyre",2000,"d7828b76-450f-48d5-b954-f30559b87e28"
"20"" 1.4""","generic","20"" 1.4""","tyre",2000,"d436eac4-cf51-4262-9a38-7951834194a7"
"20"" 1.5""","generic","20"" 1.5""","tyre",2000,"d1a34b53-7f5c-4c05-93fd-7a917d0c1892"
"20"" 1.75""","generic","20"" 1.75""","tyre",2000,"e915bb45-33dd-42ca-a0ae-83072c06800b"
"20"" 1.8""","generic","20"" 1.8""","tyre",2000,"a2513cb4-2e66-4ffd-932b-6b9cae87a718"
"20"" 1.85""","generic","20"" 1.85""","tyre",2000,"2ace3e0d-4a1d-4e2e-9c21-b56ef20fa31f"
"20"" 1.9""","generic","20"" 1.9""","tyre",2000,"c825a659-e22e-49d3-8ced-1ebd40313c1f"
"20"" 1.95""","generic","20"" 1.95""","tyre",2000,"9098a875-99f0-467d-a6d1-bee4cdf0d40f"
"20"" 2.0""","generic","20"" 2.0""","tyre",2000,"6029ad58-bd33-4914-93fe-c965361c8ef4"
"20"" 2.1""","generic","20"" 2.1""","tyre",2000,"8c3a7184-15a6-4c15-934e-9cce739b6cb9"
"20"" 2.2""","generic","20"" 2.2""","tyre",2000,"0e6efaf6-df4c-4665-a800-74094cd6c32e"
"20"" 2.25""","generic","20"" 2.25""","tyre",2000,"a0b74afe-5509-4028-b2ca-7ab6e16f87ed"
"20"" 2.3""","generic","20"" 2.3""","tyre",2000,"16cc4e64-73af-46a3-83d0-fa8ad476a3f4"
"20"" 2.35""","generic","20"" 2.35""","tyre",2000,"112cbdb1-f950-4675-9ab4-319c6d7cc70e"
"20"" 2.4""","generic","20"" 2.4""","tyre",2000,"9bc40e44-9ec2-486b-a076-03c9b81df9d1"
"20"" 2.5""","generic","20"" 2.5""","tyre",2000,"efa8d7a4-f221-4042-8361-fdcceef14022"
"20"" 2.6""","generic","20"" 2.6""","tyre",2000,"3f8306cd-a36d-4fed-b06d-56981df017ae"
"20"" 2.7""","generic","20"" 2.7""","tyre",2000,"1108f443-1f58-4282-ae2c-78a16c6c2447"
"20"" 2.8""","generic","20"" 2.8""","tyre",2000,"ec59812c-6302-45b3-a6e0-5cd6ffa05f6d"
"20"" Presta","generic","20"" presta","inner-tube",,"20ef73c1-a6bb-4e4e-8b6a-0abd7045c778"
"20"" Schrader","generic","20"" schrader","inner-tube",,"b6ed824e-5a1d-46e1-9dc1-6dca195b86c2"
"200mm 26""","generic","200mm 26""","fork",,"a2e19416-940a-46b2-a9e2-294471f04f42"
"200mm 27.5""","generic","200mm 27.5""","fork",,"69674ea9-ef11-4b58-b796-e858e379056c"
"200mm 29""","generic","200mm 29""","fork",,"b8645c1c-846d-46dc-b155-d2087ec1f2c2"
"203mm CenterLock","generic","203mm centerlock","brake-rotor",10000,"ccb56c08-adfa-49d9-8ebb-ff80632e3367"
"220mm 6-Bolt","generic","220mm 6-bolt","brake-rotor",10000,"b8d03019-a99f-41a2-9504-ac0770d90ae0"
"220mm CenterLock","generic","220mm centerlock","brake-rotor",10000,"4103731a-e2c3-4ff6-bf5e-c4f337de1df9"
"223mm 6-Bolt","generic","223mm 6-bolt","brake-rotor",10000,"7182c56c-3673-4fcf-9dc5-4ca635f98b1d"
"223mm CenterLock","generic","223mm centerlock","brake-rotor",10000,"5af4864e-2970-4390-a086-70916fd3d5bc"
"24"" 1.0""","generic","24"" 1.0""","tyre",2000,"55ecfe72-9d59-4645-97cc-e4a651a9cf7f"
"24"" 1.1""","generic","24"" 1.1""","tyre",2000,"05df8e32-efa8-49f4-9b45-ef54b9899226"
"24"" 1.2""","generic","24"" 1.2""","tyre",2000,"a1d547a1-1e51-47c1-b98a-2f33d354e557"
"24"" 1.3""","generic","24"" 1.3""","tyre",2000,"5b98e35d-3c20-477f-bcea-c337b3b76f6e"
"24"" 1.35""","generic","24"" 1.35""","tyre",2000,"212f5495-c7d1-4741-bb5d-92528696af15"
"24"" 1.4""","generic","24"" 1.4""","tyre",2000,"9cebc38a-1ef0-4eae-9b2a-7ade140399ec"
"24"" 1.5""","generic","24"" 1.5""","tyre",2000,"2c51c049-5f4b-4b3d-8a16-843940554ef3"
"24"" 1.75""","generic","24"" 1.75""","tyre",2000,"32aa77f4-1430-458b-9066-93a408f67fc0"
"24"" 1.8""","generic","24"" 1.8""","tyre",2000,"4c15c801-00b1-4bd6-bf70-44b1004a017a"
"24"" 1.85""","generic","24"" 1.85""","tyre",2000,"a85bbfcf-1dad-4184-9912-b5adaca71f57"
"24"" 1.9""","generic","24"" 1.9""","tyre",2000,"3a4ea6af-c058-4a5d-8d23-a492ecdd8969"
"24"" 1.95""","generic","24"" 1.95""","tyre",2000,"d9b383d0-1df8-42e3-8d1b-14eede1bbec2"
"24"" 2.0""","generic","24"" 2.0""","tyre",2000,"ea87fdae-fb45-4d3f-8cce-198f5354a5d2"
"24"" 2.1""","generic","24"" 2.1""","tyre",2000,"f539b549-72b5-4ebb-ab37-c2f5d6ac2eaf"
"24"" 2.2""","generic","24"" 2.2""","tyre",2000,"64fc77c7-8641-4d13-8b4a-a8a0926bffbe"
"24"" 2.25""","generic","24"" 2.25""","tyre",2000,"27f79240-a606-4062-b7f5-f4f7b5777422"
"24"" 2.3""","generic","24"" 2.3""","tyre",2000,"7b552994-b54b-40e6-8d59-68660ecc08d3"
"24"" 2.35""","generic","24"" 2.35""","tyre",2000,"ddb668f2-f931-41cf-9818-0eb89e5498e0"
"24"" 2.4""","generic","24"" 2.4""","tyre",2000,"48aac2cf-62de-4576-b6b8-ac1d5836e5e5"
"24"" 2.5""","generic","24"" 2.5""","tyre",2000,"cc1db713-6cf9-4931-bb8d-30dd0bec93cd"
"24"" 2.6""","generic","24"" 2.6""","tyre",2000,"f3d1e0ac-eb31-4ed8-bd22-516c6e554846"
"24"" 2.7""","generic","24"" 2.7""","tyre",2000,"39dbf104-2d58-4806-aa71-efc5f12b6e3e"
"24"" 2.8""","generic","24"" 2.8""","tyre",2000,"c9ec8c26-4cb8-4421-b2c7-050bad500d54"
"24"" Presta","generic","24"" presta","inner-tube",,"25cf5f9c-9ba3-4843-bbf1-fab384cde212"
"24"" Schrader","generic","24"" schrader","inner-tube",,"de78846a-ea4e-4cb2-92fa-c73188fd5745"
"26"" 1.0""","generic","26"" 1.0""","tyre",2000,"3000caf1-4e06-4b18-9665-b1633b2e3a10"
"26"" 1.1""","generic","26"" 1.1""","tyre",2000,"197c2440-3998-41d1-b455-093b611085c3"
"26"" 1.2""","generic","26"" 1.2""","tyre",2000,"cb8f67fd-2647-4482-825e-95cc8d23b156"
"26"" 1.3""","generic","26"" 1.3""","tyre",2000,"eae244e1-9be4-48c3-bbef-90f0632e2727"
"26"" 1.35""","generic","26"" 1.35""","tyre",2000,"8e2cd0ce-f7c6-437e-a15b-73048ecd6ebf"
"26"" 1.4""","generic","26"" 1.4""","tyre",2000,"691909f3-2030-48fa-bdbb-e71923b91b96"
"26"" 1.5""","generic","26"" 1.5""","tyre",2000,"7f0ef4c3-61ab-4582-98f7-f6e54534c7f4"
"26"" 1.75""","generic","26"" 1.75""","tyre",2000,"3e9358d6-828b-45d4-bc38-7ffeb3f45a54"
